Designator,Footprint,Quantity,Value,LCSC Part #
C201,CP_Radial_D10.0mm_P5.00mm,1,470u/50V,
"C202, C203, C204, C301, C302, C303, C401, C501, C502",0603,9,100n,
"C205, C206",1206,2,22u/50V,
C402,0603,1,10n,
C403,0603,1,1u,
D201,D_SMA,1,M4,C18199095
D202,D_SMB,1,P6SMB18CA,C19077599
"D203, D204, D401, D402",0805,4,LED_Small,
F201,1206,1,500mA,
J201,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,Conn_01x02,
J301,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J401,USB_B_Lumberg_2411_02_Horizontal,1,USB_B,
J501,JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,1,Conn_01x09,
L201,L_10.4x10.4_H4.8,1,6.8u,
"Q401, Q402",SOT-23,2,BC847,
R201,0603,1,100k,
R202,0603,1,13.7k,
"R203, R204, R301, R302, R303, R304, R305, R403, R404, R405, R406, R501, R502, R503, R504",0603,15,10k,
"R401, R402",0603,2,22,
SW201,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,SW_SPST,
SW301,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,RotaryEncoder_Switch,
U201,SOT-23-6,1,LMR51430,
U301,WT32-ETH01,1,WT32-ETH01,
U401,SOT-23-6,1,SRV05-4,
U402,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U501,SOIC-18W_7.5x11.6mm_P1.27mm,1,MCP23008-xSO,
U502,SOP-18_7.495x11.515mm_P1.27mm,1,TBD62785AFWG,
