Designator,Mid X,Mid Y,Rotation,Layer
C201,132.0,-91.6,180.0,top
C202,127.25,-83.55,270.0,top
C203,130.2,-78.925,90.0,top
C204,122.45,-78.925,270.0,top
C205,117.95,-74.325,270.0,top
C206,117.95,-68.275,90.0,top
C301,107.8625,-92.8875,180.0,top
C302,108.1125,-75.1075,180.0,top
C303,114.5,-70.89,270.0,top
C401,78.8625,-79.75,180.0,top
C402,75.0,-68.5,90.0,top
C403,82.0,-83.173542,90.0,top
C501,126.0,-100.0,270.0,top
C502,129.6125,-115.5,180.0,top
D201,139.5,-77.4575,90.0,top
D202,134.5,-77.5175,90.0,top
D203,74.775,-103.5,180.0,top
D204,74.775,-101.25,180.0,top
D401,74.725,-99.0,180.0,top
D402,74.725,-96.75,180.0,top
F201,144.5,-77.4875,270.0,top
J201,127.5,-57.175,0.0,top
J301,101.5,-111.0,0.0,top
J401,72.5,-55.7575,90.0,top
J501,145.25,-107.0,270.0,top
L201,125.2,-71.3,180.0,top
Q401,79.0,-83.123542,90.0,top
Q402,71.25,-83.123542,90.0,top
R201,124.2,-78.925,270.0,top
R202,124.2,-82.175,270.0,top
R203,78.8375,-103.5,0.0,top
R204,78.8375,-101.25,0.0,top
R301,107.8375,-85.2675,0.0,top
R302,107.8375,-87.8075,0.0,top
R303,86.0,-117.0875,90.0,top
R304,81.0,-117.0875,90.0,top
R305,88.5,-117.0875,90.0,top
R401,73.2,-68.5,270.0,top
R402,71.3,-68.5,270.0,top
R403,75.0875,-81.061042,0.0,top
R404,75.0875,-82.811042,180.0,top
R405,78.8375,-99.0,180.0,top
R406,78.8375,-96.75,180.0,top
R501,122.5,-100.0,270.0,top
R502,120.75,-100.0,270.0,top
R503,119.0,-100.0,270.0,top
R504,124.25,-100.0,270.0,top
SW201,144.5,-69.23,270.0,top
SW301,86.0,-111.0,0.0,top
U201,127.25,-79.5,90.0,top
U301,100.0,-82.7275,180.0,top
U401,72.25,-64.25,270.0,top
U402,73.575,-74.963224,180.0,top
U501,120.45,-108.23,270.0,top
U502,133.525,-108.21,0.0,top
